Date,time,open,close,high,low,volume
2019.07.01,00:00,1.269810,1.269820,1.269760,1.269790,0
2019.07.01,00:01,1.269780,1.269790,1.269750,1.269770,0
2019.07.01,00:02,1.269790,1.269820,1.269750,1.269770,0
2019.07.01,00:03,1.269770,1.269780,1.269770,1.269770,0
2019.07.01,00:04,1.269780,1.269780,1.269760,1.269760,0
2019.07.01,00:05,1.269750,1.269810,1.269750,1.269780,0
2019.07.01,00:06,1.269780,1.269790,1.269770,1.269790,0
2019.07.01,00:07,1.269780,1.269790,1.269760,1.269780,0
2019.07.01,00:08,1.269770,1.269840,1.269770,1.269770,0
2019.07.01,00:09,1.269770,1.269780,1.269760,1.269780,0
2019.07.01,00:10,1.269770,1.269770,1.269750,1.269750,0
2019.07.01,00:11,1.269750,1.269810,1.269750,1.269810,0
2019.07.01,00:12,1.269800,1.269810,1.269700,1.269710,0
2019.07.01,00:13,1.269720,1.269720,1.269680,1.269710,0
2019.07.01,00:14,1.269710,1.269790,1.269690,1.269790,0
2019.07.01,00:15,1.269800,1.269800,1.269780,1.269780,0
2019.07.01,00:16,1.269770,1.269780,1.269760,1.269780,0
2019.07.01,00:17,1.269770,1.269820,1.269770,1.269780,0
2019.07.01,00:18,1.269790,1.269870,1.269760,1.269870,0
2019.07.01,00:19,1.269870,1.269870,1.269760,1.269760,0
2019.07.01,00:20,1.269760,1.269780,1.269660,1.269740,0
2019.07.01,00:21,1.269740,1.269760,1.269650,1.269660,0
2019.07.01,00:22,1.269650,1.269670,1.269650,1.269660,0
2019.07.01,00:23,1.269660,1.269780,1.269640,1.269770,0
2019.07.01,00:24,1.269770,1.269990,1.269770,1.269880,0
2019.07.01,00:25,1.269880,1.269880,1.269760,1.269810,0
2019.07.01,00:26,1.269810,1.269830,1.269780,1.269790,0
2019.07.01,00:27,1.269800,1.269810,1.269750,1.269780,0
2019.07.01,00:28,1.269770,1.269810,1.269760,1.269790,0
2019.07.01,00:29,1.269780,1.269800,1.269750,1.269800,0
2019.07.01,00:30,1.269790,1.269800,1.269760,1.269800,0
2019.07.01,00:31,1.269790,1.269800,1.269770,1.269790,0
2019.07.01,00:32,1.269780,1.269790,1.269770,1.269780,0
2019.07.01,00:33,1.269770,1.269800,1.269770,1.269800,0
2019.07.01,00:34,1.269800,1.269800,1.269780,1.269780,0
2019.07.01,00:35,1.269810,1.269810,1.269770,1.269770,0
2019.07.01,00:36,1.269780,1.269780,1.269760,1.269770,0
2019.07.01,00:37,1.269760,1.269800,1.269740,1.269790,0
2019.07.01,00:38,1.269820,1.269820,1.269800,1.269810,0
2019.07.01,00:39,1.269800,1.269930,1.269800,1.269910,0
2019.07.01,00:40,1.269900,1.269910,1.269880,1.269900,0
2019.07.01,00:41,1.269910,1.269910,1.269890,1.269910,0
2019.07.01,00:42,1.269900,1.269920,1.269900,1.269910,0
2019.07.01,00:43,1.269900,1.269910,1.269900,1.269910,0
2019.07.01,00:44,1.269900,1.270020,1.269900,1.270020,0
2019.07.01,00:45,1.270010,1.270030,1.270010,1.270010,0
2019.07.01,00:46,1.270010,1.270010,1.269910,1.269910,0
2019.07.01,00:47,1.269910,1.269920,1.269900,1.269910,0
2019.07.01,00:48,1.269920,1.269920,1.269900,1.269920,0
2019.07.01,00:49,1.269920,1.269920,1.269890,1.269900,0
2019.07.01,00:50,1.269910,1.269990,1.269900,1.269910,0
2019.07.01,00:51,1.269910,1.269940,1.269850,1.269930,0
2019.07.01,00:52,1.269930,1.269930,1.269930,1.269930,0
2019.07.01,00:53,1.269930,1.269930,1.269930,1.269930,0
2019.07.01,00:54,1.269920,1.269930,1.269900,1.269910,0
2019.07.01,00:55,1.269920,1.269920,1.269780,1.269800,0
2019.07.01,00:56,1.269820,1.269820,1.269800,1.269820,0
2019.07.01,00:57,1.269810,1.269860,1.269810,1.269820,0
2019.07.01,00:58,1.269820,1.270060,1.269820,1.270010,0
2019.07.01,00:59,1.270010,1.270040,1.270000,1.270020,0
2019.07.01,01:00,1.270020,1.270070,1.270010,1.270010,0
2019.07.01,01:01,1.270010,1.270010,1.269990,1.269990,0
2019.07.01,01:02,1.269990,1.269990,1.269790,1.269800,0
2019.07.01,01:03,1.269800,1.269830,1.269800,1.269800,0
2019.07.01,01:04,1.269810,1.269810,1.269690,1.269690,0
2019.07.01,01:05,1.269650,1.269650,1.269040,1.269260,0
2019.07.01,01:06,1.269260,1.269260,1.269040,1.269080,0
2019.07.01,01:07,1.269080,1.269200,1.269080,1.269170,0
2019.07.01,01:08,1.269180,1.269360,1.269170,1.269290,0
2019.07.01,01:09,1.269290,1.269400,1.269280,1.269370,0
2019.07.01,01:10,1.269370,1.269400,1.269280,1.269290,0
2019.07.01,01:11,1.269280,1.269280,1.268900,1.268970,0
2019.07.01,01:12,1.268960,1.268980,1.268790,1.268790,0
2019.07.01,01:13,1.268790,1.268920,1.268670,1.268670,0
2019.07.01,01:14,1.268660,1.268710,1.268560,1.268610,0
2019.07.01,01:15,1.268590,1.268700,1.268530,1.268550,0
2019.07.01,01:16,1.268550,1.268550,1.268400,1.268410,0
2019.07.01,01:17,1.268460,1.268520,1.268420,1.268490,0
2019.07.01,01:18,1.268480,1.268580,1.268400,1.268470,0
2019.07.01,01:19,1.268460,1.268540,1.268280,1.268380,0
2019.07.01,01:20,1.268380,1.268470,1.268230,1.268250,0
2019.07.01,01:21,1.268240,1.268370,1.268240,1.268310,0
2019.07.01,01:22,1.268300,1.268370,1.268190,1.268280,0
2019.07.01,01:23,1.268280,1.268360,1.268130,1.268200,0
2019.07.01,01:24,1.268200,1.268270,1.268170,1.268180,0
2019.07.01,01:25,1.268170,1.268170,1.267990,1.268080,0
2019.07.01,01:26,1.268090,1.268220,1.268080,1.268150,0
2019.07.01,01:27,1.268150,1.268170,1.268000,1.268070,0
2019.07.01,01:28,1.268060,1.268060,1.267900,1.267990,0
2019.07.01,01:29,1.268010,1.268130,1.267970,1.268100,0
2019.07.01,01:30,1.268090,1.268090,1.267950,1.268000,0
2019.07.01,01:31,1.267990,1.268100,1.267990,1.268100,0
2019.07.01,01:32,1.268100,1.268150,1.268000,1.268110,0
2019.07.01,01:33,1.268110,1.268320,1.268100,1.268310,0
2019.07.01,01:34,1.268310,1.268400,1.268290,1.268380,0
2019.07.01,01:35,1.268380,1.268380,1.268270,1.268310,0
2019.07.01,01:36,1.268320,1.268320,1.268290,1.268290,0
2019.07.01,01:37,1.268290,1.268300,1.268270,1.268290,0
2019.07.01,01:38,1.268270,1.268270,1.268160,1.268270,0
2019.07.01,01:39,1.268270,1.268270,1.268060,1.268100,0
2019.07.01,01:40,1.268100,1.268170,1.268090,1.268160,0
2019.07.01,01:41,1.268180,1.268330,1.268160,1.268320,0
2019.07.01,01:42,1.268300,1.268320,1.268190,1.268270,0
2019.07.01,01:43,1.268270,1.268270,1.268110,1.268180,0
2019.07.01,01:44,1.268190,1.268320,1.268180,1.268280,0
2019.07.01,01:45,1.268290,1.268300,1.268170,1.268170,0
2019.07.01,01:46,1.268170,1.268360,1.268170,1.268340,0
2019.07.01,01:47,1.268340,1.268340,1.268250,1.268290,0
2019.07.01,01:48,1.268270,1.268300,1.268260,1.268300,0
2019.07.01,01:49,1.268300,1.268350,1.268250,1.268340,0
2019.07.01,01:50,1.268340,1.268400,1.268300,1.268310,0
2019.07.01,01:51,1.268330,1.268340,1.268210,1.268290,0
2019.07.01,01:52,1.268270,1.268290,1.268180,1.268180,0
2019.07.01,01:53,1.268170,1.268200,1.268160,1.268180,0
2019.07.01,01:54,1.268180,1.268270,1.268180,1.268260,0
2019.07.01,01:55,1.268270,1.268330,1.268190,1.268300,0
2019.07.01,01:56,1.268300,1.268400,1.268300,1.268360,0
2019.07.01,01:57,1.268370,1.268400,1.268370,1.268390,0
2019.07.01,01:58,1.268390,1.268390,1.268380,1.268380,0
2019.07.01,01:59,1.268400,1.268400,1.268390,1.268400,0
2019.07.01,02:00,1.268400,1.268430,1.268390,1.268400,0
2019.07.01,02:01,1.268390,1.268490,1.268360,1.268360,0
2019.07.01,02:02,1.268370,1.268480,1.268370,1.268370,0
2019.07.01,02:03,1.268370,1.268480,1.268360,1.268370,0
2019.07.01,02:04,1.268360,1.268460,1.268280,1.268460,0
2019.07.01,02:05,1.268460,1.268580,1.268450,1.268450,0
2019.07.01,02:06,1.268480,1.268670,1.268480,1.268580,0
2019.07.01,02:07,1.268570,1.268570,1.268280,1.268320,0
2019.07.01,02:08,1.268320,1.268390,1.268290,1.268380,0
2019.07.01,02:09,1.268380,1.268410,1.268270,1.268410,0
2019.07.01,02:10,1.268420,1.268460,1.268360,1.268410,0
2019.07.01,02:11,1.268420,1.268420,1.268300,1.268380,0
2019.07.01,02:12,1.268370,1.268390,1.268270,1.268270,0
2019.07.01,02:13,1.268260,1.268310,1.268260,1.268280,0
2019.07.01,02:14,1.268280,1.268300,1.268270,1.268300,0
2019.07.01,02:15,1.268290,1.268300,1.268080,1.268110,0
2019.07.01,02:16,1.268100,1.268110,1.267910,1.267990,0
2019.07.01,02:17,1.267980,1.267980,1.267880,1.267960,0
2019.07.01,02:18,1.267960,1.267960,1.267750,1.267770,0
2019.07.01,02:19,1.267770,1.267790,1.267610,1.267670,0
2019.07.01,02:20,1.267670,1.267760,1.267670,1.267690,0
2019.07.01,02:21,1.267690,1.267780,1.267580,1.267760,0
2019.07.01,02:22,1.267770,1.267780,1.267560,1.267570,0
2019.07.01,02:23,1.267570,1.267680,1.267550,1.267640,0
2019.07.01,02:24,1.267660,1.267810,1.267650,1.267770,0
2019.07.01,02:25,1.267770,1.267880,1.267770,1.267870,0
2019.07.01,02:26,1.267890,1.268040,1.267880,1.268020,0
2019.07.01,02:27,1.268030,1.268030,1.267980,1.268010,0
2019.07.01,02:28,1.268000,1.268000,1.267870,1.267870,0
2019.07.01,02:29,1.267870,1.267870,1.267790,1.267790,0
2019.07.01,02:30,1.267780,1.267880,1.267660,1.267660,0
2019.07.01,02:31,1.267660,1.267910,1.267630,1.267880,0
2019.07.01,02:32,1.267900,1.268030,1.267860,1.268010,0
2019.07.01,02:33,1.268020,1.268080,1.267800,1.267800,0
2019.07.01,02:34,1.267810,1.267900,1.267800,1.267830,0
2019.07.01,02:35,1.267840,1.268000,1.267800,1.268000,0
2019.07.01,02:36,1.268000,1.268010,1.267930,1.267980,0
2019.07.01,02:37,1.267980,1.268010,1.267890,1.267910,0
2019.07.01,02:38,1.267910,1.268000,1.267900,1.267960,0
2019.07.01,02:39,1.267920,1.268000,1.267900,1.267920,0
2019.07.01,02:40,1.267920,1.267920,1.267790,1.267890,0
2019.07.01,02:41,1.267890,1.268000,1.267890,1.268000,0
2019.07.01,02:42,1.268000,1.268090,1.267970,1.268050,0
2019.07.01,02:43,1.268050,1.268060,1.267860,1.267910,0
2019.07.01,02:44,1.267900,1.268010,1.267820,1.267930,0
2019.07.01,02:45,1.267930,1.268070,1.267780,1.267950,0
2019.07.01,02:46,1.267940,1.268120,1.267930,1.268110,0
2019.07.01,02:47,1.268110,1.268110,1.268000,1.268060,0
2019.07.01,02:48,1.268070,1.268100,1.267930,1.268040,0
2019.07.01,02:49,1.268040,1.268040,1.267760,1.267770,0
2019.07.01,02:50,1.267770,1.267900,1.267770,1.267890,0
2019.07.01,02:51,1.267900,1.268020,1.267890,1.268000,0
2019.07.01,02:52,1.268000,1.268030,1.267880,1.267930,0
2019.07.01,02:53,1.267930,1.267990,1.267810,1.267860,0
2019.07.01,02:54,1.267890,1.267890,1.267770,1.267810,0
2019.07.01,02:55,1.267820,1.267830,1.267680,1.267800,0
2019.07.01,02:56,1.267790,1.267800,1.267510,1.267510,0
2019.07.01,02:57,1.267510,1.267510,1.267100,1.267190,0
2019.07.01,02:58,1.267190,1.267290,1.267100,1.267180,0
2019.07.01,02:59,1.267170,1.267250,1.267040,1.267070,0
2019.07.01,03:00,1.267070,1.267070,1.266890,1.266890,0
2019.07.01,03:01,1.266900,1.267260,1.266890,1.267180,0
2019.07.01,03:02,1.267180,1.267180,1.266980,1.266990,0
2019.07.01,03:03,1.266990,1.267080,1.266700,1.266700,0
2019.07.01,03:04,1.266700,1.266740,1.266580,1.266710,0
2019.07.01,03:05,1.266700,1.266930,1.266630,1.266830,0
2019.07.01,03:06,1.266810,1.266820,1.266700,1.266800,0
2019.07.01,03:07,1.266860,1.267110,1.266810,1.267080,0
2019.07.01,03:08,1.267040,1.267040,1.266890,1.266920,0
2019.07.01,03:09,1.266920,1.267000,1.266780,1.267000,0
2019.07.01,03:10,1.267000,1.267090,1.266700,1.266790,0
2019.07.01,03:11,1.266770,1.266830,1.266620,1.266720,0
2019.07.01,03:12,1.266710,1.266720,1.266500,1.266600,0
2019.07.01,03:13,1.266590,1.266600,1.266450,1.266520,0
2019.07.01,03:14,1.266520,1.266620,1.266390,1.266390,0
2019.07.01,03:15,1.266410,1.266440,1.265980,1.266330,0
2019.07.01,03:16,1.266320,1.266620,1.266320,1.266620,0
2019.07.01,03:17,1.266620,1.266720,1.266520,1.266720,0
2019.07.01,03:18,1.266710,1.266920,1.266700,1.266900,0
2019.07.01,03:19,1.266920,1.267030,1.266860,1.267020,0
2019.07.01,03:20,1.267010,1.267020,1.266820,1.266910,0
2019.07.01,03:21,1.266910,1.267010,1.266680,1.267010,0
2019.07.01,03:22,1.267000,1.267300,1.266960,1.267220,0
2019.07.01,03:23,1.267210,1.267220,1.266790,1.266900,0
2019.07.01,03:24,1.266890,1.267210,1.266880,1.267110,0
2019.07.01,03:25,1.267110,1.267270,1.266980,1.267020,0
2019.07.01,03:26,1.267020,1.267110,1.266990,1.267080,0
2019.07.01,03:27,1.267080,1.267090,1.266990,1.267010,0
2019.07.01,03:28,1.266990,1.266990,1.266770,1.266780,0
2019.07.01,03:29,1.266790,1.266810,1.266670,1.266810,0
2019.07.01,03:30,1.266800,1.266800,1.266650,1.266650,0
2019.07.01,03:31,1.266660,1.266740,1.266600,1.266730,0
2019.07.01,03:32,1.266730,1.267020,1.266730,1.266930,0
2019.07.01,03:33,1.266940,1.267020,1.266890,1.266940,0
2019.07.01,03:34,1.266940,1.267000,1.266890,1.266890,0
2019.07.01,03:35,1.266900,1.267010,1.266900,1.267010,0
2019.07.01,03:36,1.267010,1.267130,1.267000,1.267130,0
2019.07.01,03:37,1.267110,1.267110,1.267000,1.267010,0
2019.07.01,03:38,1.266980,1.267020,1.266800,1.267010,0
2019.07.01,03:39,1.267000,1.267100,1.266970,1.267060,0
2019.07.01,03:40,1.267060,1.267100,1.266920,1.266930,0
2019.07.01,03:41,1.266920,1.266970,1.266850,1.266850,0
2019.07.01,03:42,1.266850,1.266900,1.266700,1.266880,0
2019.07.01,03:43,1.266860,1.266930,1.266690,1.266720,0
2019.07.01,03:44,1.266720,1.266930,1.266710,1.266900,0
2019.07.01,03:45,1.266920,1.266930,1.266720,1.266820,0
2019.07.01,03:46,1.266830,1.266840,1.266640,1.266810,0
2019.07.01,03:47,1.266820,1.266960,1.266820,1.266930,0
2019.07.01,03:48,1.266920,1.267050,1.266860,1.267020,0
2019.07.01,03:49,1.267030,1.267220,1.267010,1.267180,0
2019.07.01,03:50,1.267170,1.267170,1.266940,1.266990,0
2019.07.01,03:51,1.266980,1.266980,1.266820,1.266820,0
2019.07.01,03:52,1.266810,1.266810,1.266590,1.266610,0
2019.07.01,03:53,1.266590,1.266720,1.266560,1.266580,0
2019.07.01,03:54,1.266580,1.266600,1.266270,1.266270,0
2019.07.01,03:55,1.266240,1.266310,1.265800,1.265860,0
2019.07.01,03:56,1.265850,1.266260,1.265830,1.266230,0
2019.07.01,03:57,1.266230,1.266250,1.266150,1.266250,0
2019.07.01,03:58,1.266250,1.266290,1.265640,1.265670,0
2019.07.01,03:59,1.265670,1.265820,1.265530,1.265640,0
2019.07.01,04:00,1.265650,1.265950,1.265630,1.265920,0
2019.07.01,04:01,1.265910,1.266230,1.265910,1.266230,0
2019.07.01,04:02,1.266240,1.266240,1.265810,1.266000,0
2019.07.01,04:03,1.266000,1.266000,1.265730,1.265810,0
2019.07.01,04:04,1.265800,1.266210,1.265740,1.266210,0
2019.07.01,04:05,1.266210,1.266440,1.266190,1.266280,0
2019.07.01,04:06,1.266230,1.266390,1.266200,1.266240,0
2019.07.01,04:07,1.266230,1.266310,1.266090,1.266130,0
2019.07.01,04:08,1.266130,1.266140,1.265970,1.266010,0
2019.07.01,04:09,1.266010,1.266080,1.265930,1.266010,0
2019.07.01,04:10,1.265990,1.266000,1.265690,1.265890,0
2019.07.01,04:11,1.265910,1.265910,1.265710,1.265810,0
2019.07.01,04:12,1.265810,1.265930,1.265710,1.265730,0
2019.07.01,04:13,1.265720,1.265770,1.265550,1.265680,0
2019.07.01,04:14,1.265670,1.265720,1.265440,1.265500,0
2019.07.01,04:15,1.265500,1.265630,1.265370,1.265600,0
2019.07.01,04:16,1.265590,1.265640,1.265510,1.265520,0
2019.07.01,04:17,1.265510,1.265510,1.265330,1.265410,0
2019.07.01,04:18,1.265390,1.265430,1.265300,1.265370,0
2019.07.01,04:19,1.265380,1.265630,1.265380,1.265620,0
2019.07.01,04:20,1.265610,1.265780,1.265540,1.265700,0
2019.07.01,04:21,1.265700,1.265790,1.265680,1.265710,0
2019.07.01,04:22,1.265710,1.265810,1.265660,1.265680,0
2019.07.01,04:23,1.265690,1.265700,1.265290,1.265290,0
2019.07.01,04:24,1.265310,1.265420,1.265270,1.265400,0
2019.07.01,04:25,1.265390,1.265430,1.265270,1.265430,0
2019.07.01,04:26,1.265430,1.265530,1.265400,1.265410,0
2019.07.01,04:27,1.265420,1.265510,1.265360,1.265400,0
2019.07.01,04:28,1.265450,1.266070,1.265450,1.266020,0
2019.07.01,04:29,1.266010,1.266130,1.265710,1.265780,0
2019.07.01,04:30,1.265700,1.265700,1.264650,1.264660,0
2019.07.01,04:31,1.264640,1.264640,1.264430,1.264490,0
2019.07.01,04:32,1.264510,1.264620,1.264400,1.264490,0
2019.07.01,04:33,1.264490,1.264490,1.264000,1.264220,0
2019.07.01,04:34,1.264220,1.264570,1.264000,1.264520,0
2019.07.01,04:35,1.264520,1.264800,1.264300,1.264740,0
2019.07.01,04:36,1.264730,1.265070,1.264680,1.264950,0
2019.07.01,04:37,1.264960,1.264990,1.264800,1.264950,0
2019.07.01,04:38,1.264970,1.265020,1.264830,1.264840,0
2019.07.01,04:39,1.264850,1.265030,1.264790,1.264840,0
2019.07.01,04:40,1.264840,1.264970,1.264840,1.264900,0
2019.07.01,04:41,1.264900,1.264990,1.264900,1.264990,0
2019.07.01,04:42,1.264990,1.264990,1.264740,1.264770,0
2019.07.01,04:43,1.264760,1.264770,1.264640,1.264640,0
2019.07.01,04:44,1.264640,1.264650,1.264500,1.264570,0
2019.07.01,04:45,1.264590,1.264590,1.264370,1.264480,0
2019.07.01,04:46,1.264480,1.264480,1.264010,1.264010,0
2019.07.01,04:47,1.264010,1.264180,1.263980,1.264070,0
2019.07.01,04:48,1.264060,1.264290,1.264020,1.264190,0
2019.07.01,04:49,1.264190,1.264320,1.264170,1.264270,0
2019.07.01,04:50,1.264310,1.264400,1.264240,1.264330,0
2019.07.01,04:51,1.264310,1.264530,1.264300,1.264450,0
2019.07.01,04:52,1.264440,1.264810,1.264430,1.264740,0
2019.07.01,04:53,1.264720,1.264820,1.264590,1.264650,0
2019.07.01,04:54,1.264640,1.264760,1.264640,1.264710,0
2019.07.01,04:55,1.264720,1.264930,1.264720,1.264750,0
2019.07.01,04:56,1.264760,1.264850,1.264670,1.264790,0
2019.07.01,04:57,1.264790,1.264830,1.264540,1.264670,0
2019.07.01,04:58,1.264670,1.264670,1.264020,1.264020,0
2019.07.01,04:59,1.264010,1.264370,1.263970,1.264350,0
2019.07.01,05:00,1.264370,1.264370,1.263920,1.264010,0
2019.07.01,05:01,1.264010,1.264040,1.263820,1.263920,0
2019.07.01,05:02,1.263940,1.264060,1.263730,1.264020,0
2019.07.01,05:03,1.264000,1.264000,1.263660,1.263690,0
2019.07.01,05:04,1.263710,1.264030,1.263680,1.264030,0
2019.07.01,05:05,1.264010,1.264010,1.263740,1.263890,0
2019.07.01,05:06,1.263870,1.263870,1.263610,1.263650,0
2019.07.01,05:07,1.263660,1.263910,1.263660,1.263910,0
2019.07.01,05:08,1.263870,1.263970,1.263630,1.263640,0
2019.07.01,05:09,1.263640,1.263750,1.263640,1.263660,0
2019.07.01,05:10,1.263690,1.263740,1.263620,1.263650,0
2019.07.01,05:11,1.263650,1.263870,1.263620,1.263870,0
